dataset,pub,error,url
cafod-multiplegea,cafod,curl: download ERROR 404,"https://cafod.org.uk/extra/data/iati/IATIFile_Multiple_GEA.xml"
cafod-multiplegea,cafod,dflat: input XML file does not exist,"https://cafod.org.uk/extra/data/iati/IATIFile_Multiple_GEA.xml"
cafod-multiplegea,cafod,restored 1 files,"https://cafod.org.uk/extra/data/iati/IATIFile_Multiple_GEA.xml"
cafod-multiplegsa,cafod,curl: download ERROR 404,"https://cafod.org.uk/extra/data/iati/IATIFile_Multiple_GSA.xml"
cafod-multiplegsa,cafod,dflat: input XML file does not exist,"https://cafod.org.uk/extra/data/iati/IATIFile_Multiple_GSA.xml"
cafod-multiplegsa,cafod,restored 1 files,"https://cafod.org.uk/extra/data/iati/IATIFile_Multiple_GSA.xml"
cafod-namibia,cafod,curl: download ERROR 404,"https://cafod.org.uk/extra/data/iati/IATIFile_Namibia.xml"
cafod-namibia,cafod,dflat: input XML file does not exist,"https://cafod.org.uk/extra/data/iati/IATIFile_Namibia.xml"
cafod-namibia,cafod,restored 1 files,"https://cafod.org.uk/extra/data/iati/IATIFile_Namibia.xml"
cafod-stlucia,cafod,curl: download ERROR 404,"https://cafod.org.uk/extra/data/iati/IATIFile_St_Lucia.xml"
cafod-stlucia,cafod,dflat: input XML file does not exist,"https://cafod.org.uk/extra/data/iati/IATIFile_St_Lucia.xml"
cafod-stlucia,cafod,restored 1 files,"https://cafod.org.uk/extra/data/iati/IATIFile_St_Lucia.xml"
cafod-syria,cafod,curl: download ERROR 404,"https://cafod.org.uk/extra/data/iati/IATIFile_Syria.xml"
cafod-syria,cafod,dflat: input XML file does not exist,"https://cafod.org.uk/extra/data/iati/IATIFile_Syria.xml"
cafod-syria,cafod,restored 1 files,"https://cafod.org.uk/extra/data/iati/IATIFile_Syria.xml"
cafod-ukraine,cafod,curl: download ERROR 404,"https://cafod.org.uk/extra/data/iati/IATIFile_Ukraine.xml"
cafod-ukraine,cafod,dflat: input XML file does not exist,"https://cafod.org.uk/extra/data/iati/IATIFile_Ukraine.xml"
cafod-ukraine,cafod,restored 1 files,"https://cafod.org.uk/extra/data/iati/IATIFile_Ukraine.xml"
cafod-westindies,cafod,curl: download ERROR 404,"https://cafod.org.uk/extra/data/iati/IATIFile_West_Indies.xml"
cafod-westindies,cafod,dflat: input XML file does not exist,"https://cafod.org.uk/extra/data/iati/IATIFile_West_Indies.xml"
cafod-westindies,cafod,restored 1 files,"https://cafod.org.uk/extra/data/iati/IATIFile_West_Indies.xml"
caid_ireland-01,caid_ireland,curl: download ERROR 404,"https://www.christianaid.ie/iati/CA-Ireland-Irish-Aid-Activity.xml"
caid_ireland-01,caid_ireland,dflat: input XML file does not exist,"https://www.christianaid.ie/iati/CA-Ireland-Irish-Aid-Activity.xml"
caid_ireland-01,caid_ireland,restored 0 files,"https://www.christianaid.ie/iati/CA-Ireland-Irish-Aid-Activity.xml"
caid_ireland-org,caid_ireland,curl: download ERROR 404,"http://www.christianaid.ie/Iati/orgFile.xml"
caid_ireland-org,caid_ireland,dflat: input XML file does not exist,"http://www.christianaid.ie/Iati/orgFile.xml"
caid_ireland-org,caid_ireland,restored 0 files,"http://www.christianaid.ie/Iati/orgFile.xml"
cal-org,cal,Converting IATI organisations version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/cal-org.xml"
canoncollinstrust-activities,canoncollinstrust,Converting IATI activities version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/canoncollinstrust-activities.xml"
caritasfin-8a,caritasfin,curl: download ERROR 000,"http://mapping.caritas.eu/iati/activities.xml?id=39&hash=e935f58cfaa2bed30bb55b641b2c5f95"
caritasfin-8a,caritasfin,dflat: input XML file does not exist,"http://mapping.caritas.eu/iati/activities.xml?id=39&hash=e935f58cfaa2bed30bb55b641b2c5f95"
caritasfin-8a,caritasfin,restored 6 files,"http://mapping.caritas.eu/iati/activities.xml?id=39&hash=e935f58cfaa2bed30bb55b641b2c5f95"
caritas_serbia-17062603,caritas_serbia,curl: download ERROR 000,"http://mapping.caritas.eu/iati/activities.xml?id=63&hash=18e05ac544f885739dc400cc0ead83f4"
caritas_serbia-17062603,caritas_serbia,dflat: input XML file does not exist,"http://mapping.caritas.eu/iati/activities.xml?id=63&hash=18e05ac544f885739dc400cc0ead83f4"
caritas_serbia-17062603,caritas_serbia,restored 6 files,"http://mapping.caritas.eu/iati/activities.xml?id=63&hash=18e05ac544f885739dc400cc0ead83f4"
ccdnigeria-1,ccdnigeria,dflat: invalid XML format,"https://drive.google.com/file/d/0B7tiexkEWHbbUndKZkRCSUlkRm8/view"
ccdnigeria-1,ccdnigeria,restored 0 files,"https://drive.google.com/file/d/0B7tiexkEWHbbUndKZkRCSUlkRm8/view"
cda-998,cda,Converting IATI activities version 1.02 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/cda-998.xml"
cda-us,cda,Converting IATI activities version 1.02 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/cda-us.xml"
cecily-org,cecily,Converting IATI organisations version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/cecily-org.xml"
childfund-org,childfund,Converting IATI organisations version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/childfund-org.xml"
cibe-01,cibe,curl: download ERROR 000,"http://mapping.caritas.eu/iati/activities.xml?id=29&hash=a77d969b23e706cb8fec1850daae34e9"
cibe-01,cibe,dflat: input XML file does not exist,"http://mapping.caritas.eu/iati/activities.xml?id=29&hash=a77d969b23e706cb8fec1850daae34e9"
cibe-01,cibe,restored 5 files,"http://mapping.caritas.eu/iati/activities.xml?id=29&hash=a77d969b23e706cb8fec1850daae34e9"
cibe-02,cibe,curl: download ERROR 000,"http://mapping.caritas.eu/iati/organisations.xml?id=29&hash=a77d969b23e706cb8fec1850daae34e9"
cibe-02,cibe,dflat: input XML file does not exist,"http://mapping.caritas.eu/iati/organisations.xml?id=29&hash=a77d969b23e706cb8fec1850daae34e9"
cibe-02,cibe,restored 1 files,"http://mapping.caritas.eu/iati/organisations.xml?id=29&hash=a77d969b23e706cb8fec1850daae34e9"
cibe-mijndataset,cibe,curl: download ERROR 000,"http://mapping.caritas.eu/iati/activities.xml?id=29&hash=a77d969b23e706cb8fec1850daae34e9"
cibe-mijndataset,cibe,dflat: input XML file does not exist,"http://mapping.caritas.eu/iati/activities.xml?id=29&hash=a77d969b23e706cb8fec1850daae34e9"
cibe-mijndataset,cibe,restored 5 files,"http://mapping.caritas.eu/iati/activities.xml?id=29&hash=a77d969b23e706cb8fec1850daae34e9"
cibe-test3,cibe,curl: download ERROR 000,"http://mapping.caritas.eu/iati/activities.xml?id=29&hash=a77d969b23e706cb8fec1850daae34e9"
cibe-test3,cibe,dflat: input XML file does not exist,"http://mapping.caritas.eu/iati/activities.xml?id=29&hash=a77d969b23e706cb8fec1850daae34e9"
cibe-test3,cibe,restored 5 files,"http://mapping.caritas.eu/iati/activities.xml?id=29&hash=a77d969b23e706cb8fec1850daae34e9"
cic-org,cic,Converting IATI organisations version 1.02 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/cic-org.xml"
cif-389,cif,dflat: invalid XML format,"http://siteresources.worldbank.org/IATI/CIF/CIF-389.xml"
cif-389,cif,restored 0 files,"http://siteresources.worldbank.org/IATI/CIF/CIF-389.xml"
cif-889,cif,dflat: invalid XML format,"http://siteresources.worldbank.org/IATI/CIF/CIF-889.xml"
cif-889,cif,restored 0 files,"http://siteresources.worldbank.org/IATI/CIF/CIF-889.xml"
cif-998,cif,dflat: invalid XML format,"http://siteresources.worldbank.org/IATI/CIF/CIF-998.xml"
cif-998,cif,restored 0 files,"http://siteresources.worldbank.org/IATI/CIF/CIF-998.xml"
cifal-org,cifal,Converting IATI organisations version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/cifal-org.xml"
cif-cd,cif,dflat: invalid XML format,"http://siteresources.worldbank.org/IATI/CIF/CIF-CD.xml"
cif-cd,cif,restored 0 files,"http://siteresources.worldbank.org/IATI/CIF/CIF-CD.xml"
cif-ye,cif,dflat: invalid XML format,"http://siteresources.worldbank.org/IATI/CIF/CIF-YE.xml"
cif-ye,cif,restored 0 files,"http://siteresources.worldbank.org/IATI/CIF/CIF-YE.xml"
ciks-activities,ciks,Converting IATI activities version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/ciks-activities.xml"
ciks-org,ciks,Converting IATI organisations version 1.01 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/ciks-org.xml"
coda-activities,coda,Converting IATI activities version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/coda-activities.xml"
cord-org,cord,Converting IATI organisations version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/cord-org.xml"
crane-org,crane,Converting IATI organisations version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/crane-org.xml"
crehpa-1844,crehpa,dflat: invalid XML format,"https://crehpa.org.np"
crehpa-1844,crehpa,restored 0 files,"https://crehpa.org.np"
cr-org,cr,Converting IATI organisations version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/cr-org.xml"
ctc-org,ctc,Converting IATI organisations version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/ctc-org.xml"
cuammtrustees-org,cuammtrustees,Converting IATI organisations version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/cuammtrustees-org.xml"
cww-org,cww,Converting IATI organisations version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/cww-org.xml"
dapp-mw,dapp,Converting IATI activities version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/dapp-mw.xml"
dc-org,dc,Converting IATI organisations version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/dc-org.xml"
diltuk-org,diltuk,Converting IATI organisations version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/diltuk-org.xml"
dkt-001,dkt,dflat: invalid XML format,"https://aidstream.org/lite/activity/21990"
dkt-001,dkt,restored 0 files,"https://aidstream.org/lite/activity/21990"
dochas-activities,dochas,Converting IATI activities version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/dochas-activities.xml"
dthfxx12-org,dthfxx12,Converting IATI organisations version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/dthfxx12-org.xml"
ecuk-bd,ecuk,curl: download ERROR 000,"http://www.uk.ecorys.com/iati/GB-COH-01650169-C5127/GB-COH-01650169-C5127.xml"
ecuk-bd,ecuk,dflat: input XML file does not exist,"http://www.uk.ecorys.com/iati/GB-COH-01650169-C5127/GB-COH-01650169-C5127.xml"
ecuk-bd,ecuk,restored 0 files,"http://www.uk.ecorys.com/iati/GB-COH-01650169-C5127/GB-COH-01650169-C5127.xml"
ecuk-org,ecuk,curl: download ERROR 000,"http://www.uk.ecorys.com/iati/GB-COH-01650169.xml"
ecuk-org,ecuk,dflat: input XML file does not exist,"http://www.uk.ecorys.com/iati/GB-COH-01650169.xml"
ecuk-org,ecuk,restored 0 files,"http://www.uk.ecorys.com/iati/GB-COH-01650169.xml"
edt_kenya-scw5252,edt_kenya,Converting IATI activities version 1.03 to version 2.03,"https://raw.githubusercontent.com/IATI/CSV2IATI-public-backup/master/1504083236.85.xml"
eel-org,eel,Converting IATI organisations version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/eel-org.xml"
evc-activities,evc,Converting IATI activities version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/evc-activities.xml"
evc-org,evc,Converting IATI organisations version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/evc-org.xml"
ewb_canada-activities,ewb_canada,Converting IATI activities version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/ewb_canada-activities.xml"
ewb_canada-org,ewb_canada,Converting IATI organisations version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/ewb_canada-org.xml"
excellent-org,excellent,Converting IATI organisations version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/excellent-org.xml"
fairfood-mg1,fairfood,Converting IATI activities version 1.03 to version 2.03,"http://aidstream.org/public/files/xml/fairfood-mg.xml"
ff-activities,ff,Converting IATI activities version 1.02 to version 2.03,"http://aidstream.org/files/xml/ff-activities.xml"
ffi_publisher-ec,ffi_publisher,Converting IATI activities version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/ffi_publisher-ec.xml"
finland_mfa-000,finland_mfa,dflat: invalid XML format,"http://formin.finland.fi/opendata/IATI/MFA_org_file.xml"
finland_mfa-000,finland_mfa,restored 1 files,"http://formin.finland.fi/opendata/IATI/MFA_org_file.xml"
finland_mfa-189,finland_mfa,Converting IATI activities version 1.00 to version 2.03,"http://formin.finland.fi/opendata/IATI/Finland_189.xml"
