dataset,pub,error,url
ia_nam-o128,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/128"
ia_nam-o128,ia_nam,restored 18 files,"https://ngoaidmap.org/iati/organizations/128"
ia_nam-o129,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/129"
ia_nam-o129,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/129"
ia_nam-o129,ia_nam,restored 32 files,"https://ngoaidmap.org/iati/organizations/129"
ia_nam-o132,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/132"
ia_nam-o132,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/132"
ia_nam-o132,ia_nam,restored 18 files,"https://ngoaidmap.org/iati/organizations/132"
ia_nam-o134,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/134"
ia_nam-o134,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/134"
ia_nam-o134,ia_nam,restored 13 files,"https://ngoaidmap.org/iati/organizations/134"
ia_nam-o135,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/135"
ia_nam-o135,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/135"
ia_nam-o135,ia_nam,restored 193 files,"https://ngoaidmap.org/iati/organizations/135"
ia_nam-o136,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/136"
ia_nam-o136,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/136"
ia_nam-o136,ia_nam,restored 60 files,"https://ngoaidmap.org/iati/organizations/136"
ia_nam-o137,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/137"
ia_nam-o137,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/137"
ia_nam-o137,ia_nam,restored 13 files,"https://ngoaidmap.org/iati/organizations/137"
ia_nam-o13,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/13"
ia_nam-o13,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/13"
ia_nam-o13,ia_nam,restored 12 files,"https://ngoaidmap.org/iati/organizations/13"
ia_nam-o146,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/146"
ia_nam-o146,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/146"
ia_nam-o146,ia_nam,restored 32 files,"https://ngoaidmap.org/iati/organizations/146"
ia_nam-o151,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/151"
ia_nam-o151,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/151"
ia_nam-o151,ia_nam,restored 10 files,"https://ngoaidmap.org/iati/organizations/151"
ia_nam-o154,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/154"
ia_nam-o154,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/154"
ia_nam-o154,ia_nam,restored 6 files,"https://ngoaidmap.org/iati/organizations/154"
ia_nam-o155,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/155"
ia_nam-o155,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/155"
ia_nam-o155,ia_nam,restored 50 files,"https://ngoaidmap.org/iati/organizations/155"
ia_nam-o157,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/157"
ia_nam-o157,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/157"
ia_nam-o157,ia_nam,restored 12 files,"https://ngoaidmap.org/iati/organizations/157"
ia_nam-o158,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/158"
ia_nam-o158,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/158"
ia_nam-o158,ia_nam,restored 20 files,"https://ngoaidmap.org/iati/organizations/158"
ia_nam-o15,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/15"
ia_nam-o15,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/15"
ia_nam-o15,ia_nam,restored 7 files,"https://ngoaidmap.org/iati/organizations/15"
ia_nam-o160,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/160"
ia_nam-o160,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/160"
ia_nam-o160,ia_nam,restored 33 files,"https://ngoaidmap.org/iati/organizations/160"
ia_nam-o161,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/161"
ia_nam-o161,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/161"
ia_nam-o161,ia_nam,restored 35 files,"https://ngoaidmap.org/iati/organizations/161"
ia_nam-o162,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/162"
ia_nam-o162,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/162"
ia_nam-o162,ia_nam,restored 14 files,"https://ngoaidmap.org/iati/organizations/162"
ia_nam-o164,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/164"
ia_nam-o164,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/164"
ia_nam-o164,ia_nam,restored 38 files,"https://ngoaidmap.org/iati/organizations/164"
ia_nam-o166,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/166"
ia_nam-o166,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/166"
ia_nam-o166,ia_nam,restored 7 files,"https://ngoaidmap.org/iati/organizations/166"
ia_nam-o167,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/167"
ia_nam-o167,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/167"
ia_nam-o167,ia_nam,restored 10 files,"https://ngoaidmap.org/iati/organizations/167"
ia_nam-o168,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/168"
ia_nam-o168,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/168"
ia_nam-o168,ia_nam,restored 34 files,"https://ngoaidmap.org/iati/organizations/168"
ia_nam-o169,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/169"
ia_nam-o169,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/169"
ia_nam-o169,ia_nam,restored 9 files,"https://ngoaidmap.org/iati/organizations/169"
ia_nam-o16,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/16"
ia_nam-o16,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/16"
ia_nam-o16,ia_nam,restored 11 files,"https://ngoaidmap.org/iati/organizations/16"
ia_nam-o177,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/177"
ia_nam-o177,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/177"
ia_nam-o177,ia_nam,restored 25 files,"https://ngoaidmap.org/iati/organizations/177"
ia_nam-o17,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/17"
ia_nam-o17,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/17"
ia_nam-o17,ia_nam,restored 210 files,"https://ngoaidmap.org/iati/organizations/17"
ia_nam-o185,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/185"
ia_nam-o185,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/185"
ia_nam-o185,ia_nam,restored 17 files,"https://ngoaidmap.org/iati/organizations/185"
ia_nam-o18,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/18"
ia_nam-o18,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/18"
ia_nam-o18,ia_nam,restored 48 files,"https://ngoaidmap.org/iati/organizations/18"
ia_nam-o197,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/197"
ia_nam-o197,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/197"
ia_nam-o197,ia_nam,restored 1 files,"https://ngoaidmap.org/iati/organizations/197"
ia_nam-o19,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/19"
ia_nam-o19,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/19"
ia_nam-o19,ia_nam,restored 356 files,"https://ngoaidmap.org/iati/organizations/19"
ia_nam-o204,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/204"
ia_nam-o204,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/204"
ia_nam-o204,ia_nam,restored 1 files,"https://ngoaidmap.org/iati/organizations/204"
ia_nam-o20,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/20"
ia_nam-o20,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/20"
ia_nam-o20,ia_nam,restored 204 files,"https://ngoaidmap.org/iati/organizations/20"
ia_nam-o21,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/21"
ia_nam-o21,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/21"
ia_nam-o21,ia_nam,restored 54 files,"https://ngoaidmap.org/iati/organizations/21"
ia_nam-o222,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/222"
ia_nam-o222,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/222"
ia_nam-o222,ia_nam,restored 5 files,"https://ngoaidmap.org/iati/organizations/222"
ia_nam-o223,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/223"
ia_nam-o223,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/223"
ia_nam-o223,ia_nam,restored 12 files,"https://ngoaidmap.org/iati/organizations/223"
ia_nam-o225,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/225"
ia_nam-o225,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/225"
ia_nam-o225,ia_nam,restored 8 files,"https://ngoaidmap.org/iati/organizations/225"
ia_nam-o229,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/229"
ia_nam-o229,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/229"
ia_nam-o229,ia_nam,restored 9 files,"https://ngoaidmap.org/iati/organizations/229"
ia_nam-o23,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/23"
ia_nam-o23,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/23"
ia_nam-o23,ia_nam,restored 110 files,"https://ngoaidmap.org/iati/organizations/23"
ia_nam-o24,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/24"
ia_nam-o24,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/24"
ia_nam-o24,ia_nam,restored 164 files,"https://ngoaidmap.org/iati/organizations/24"
ia_nam-o27,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/27"
ia_nam-o27,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/27"
ia_nam-o27,ia_nam,restored 222 files,"https://ngoaidmap.org/iati/organizations/27"
ia_nam-o28,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/28"
ia_nam-o28,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/28"
ia_nam-o28,ia_nam,restored 42 files,"https://ngoaidmap.org/iati/organizations/28"
ia_nam-o29,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/29"
ia_nam-o29,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/29"
ia_nam-o29,ia_nam,restored 208 files,"https://ngoaidmap.org/iati/organizations/29"
ia_nam-o2,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/2"
ia_nam-o2,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/2"
ia_nam-o2,ia_nam,restored 257 files,"https://ngoaidmap.org/iati/organizations/2"
ia_nam-o31,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/31"
ia_nam-o31,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/31"
ia_nam-o31,ia_nam,restored 30 files,"https://ngoaidmap.org/iati/organizations/31"
ia_nam-o33,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/33"
ia_nam-o33,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/33"
ia_nam-o33,ia_nam,restored 64 files,"https://ngoaidmap.org/iati/organizations/33"
ia_nam-o34,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/34"
ia_nam-o34,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/34"
ia_nam-o34,ia_nam,restored 534 files,"https://ngoaidmap.org/iati/organizations/34"
ia_nam-o35,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/35"
ia_nam-o35,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/35"
ia_nam-o35,ia_nam,restored 32 files,"https://ngoaidmap.org/iati/organizations/35"
ia_nam-o379,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/379"
ia_nam-o379,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/379"
ia_nam-o379,ia_nam,restored 6 files,"https://ngoaidmap.org/iati/organizations/379"
ia_nam-o37,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/37"
ia_nam-o37,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/37"
ia_nam-o37,ia_nam,restored 28 files,"https://ngoaidmap.org/iati/organizations/37"
ia_nam-o38,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/38"
ia_nam-o38,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/38"
ia_nam-o38,ia_nam,restored 1 files,"https://ngoaidmap.org/iati/organizations/38"
ia_nam-o3997,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/3997"
ia_nam-o3997,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/3997"
ia_nam-o3997,ia_nam,restored 13 files,"https://ngoaidmap.org/iati/organizations/3997"
ia_nam-o39,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/39"
ia_nam-o39,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/39"
ia_nam-o39,ia_nam,restored 527 files,"https://ngoaidmap.org/iati/organizations/39"
ia_nam-o401,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/401"
ia_nam-o401,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/401"
ia_nam-o401,ia_nam,restored 48 files,"https://ngoaidmap.org/iati/organizations/401"
ia_nam-o40,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/40"
ia_nam-o40,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/40"
ia_nam-o40,ia_nam,restored 94 files,"https://ngoaidmap.org/iati/organizations/40"
ia_nam-o42,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/42"
ia_nam-o42,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/42"
ia_nam-o42,ia_nam,restored 13 files,"https://ngoaidmap.org/iati/organizations/42"
ia_nam-o43,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/43"
ia_nam-o43,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/43"
ia_nam-o43,ia_nam,restored 796 files,"https://ngoaidmap.org/iati/organizations/43"
ia_nam-o44,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/44"
ia_nam-o44,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/44"
ia_nam-o44,ia_nam,restored 147 files,"https://ngoaidmap.org/iati/organizations/44"
ia_nam-o45,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/45"
ia_nam-o45,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/45"
ia_nam-o45,ia_nam,restored 376 files,"https://ngoaidmap.org/iati/organizations/45"
ia_nam-o4,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/4"
ia_nam-o4,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/4"
ia_nam-o4,ia_nam,restored 713 files,"https://ngoaidmap.org/iati/organizations/4"
ia_nam-o50,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/50"
ia_nam-o50,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/50"
ia_nam-o50,ia_nam,restored 296 files,"https://ngoaidmap.org/iati/organizations/50"
ia_nam-o52,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/52"
ia_nam-o52,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/52"
ia_nam-o52,ia_nam,restored 6 files,"https://ngoaidmap.org/iati/organizations/52"
ia_nam-o5471,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/5471"
ia_nam-o5471,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/5471"
ia_nam-o5471,ia_nam,restored 2 files,"https://ngoaidmap.org/iati/organizations/5471"
ia_nam-o56,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/56"
ia_nam-o56,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/56"
ia_nam-o56,ia_nam,restored 3 files,"https://ngoaidmap.org/iati/organizations/56"
ia_nam-o57,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/57"
ia_nam-o57,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/57"
ia_nam-o57,ia_nam,restored 96 files,"https://ngoaidmap.org/iati/organizations/57"
ia_nam-o5884,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/5884"
ia_nam-o5884,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/5884"
ia_nam-o5884,ia_nam,restored 2 files,"https://ngoaidmap.org/iati/organizations/5884"
ia_nam-o58,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/58"
ia_nam-o58,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/58"
ia_nam-o58,ia_nam,restored 11 files,"https://ngoaidmap.org/iati/organizations/58"
ia_nam-o59,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/59"
ia_nam-o59,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/59"
ia_nam-o59,ia_nam,restored 1622 files,"https://ngoaidmap.org/iati/organizations/59"
ia_nam-o5,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/5"
ia_nam-o5,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/5"
ia_nam-o5,ia_nam,restored 29 files,"https://ngoaidmap.org/iati/organizations/5"
ia_nam-o60,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/60"
ia_nam-o60,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/60"
ia_nam-o60,ia_nam,restored 56 files,"https://ngoaidmap.org/iati/organizations/60"
ia_nam-o6169,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/6169"
ia_nam-o6169,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/6169"
ia_nam-o6169,ia_nam,restored 13 files,"https://ngoaidmap.org/iati/organizations/6169"
ia_nam-o6170,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/6170"
ia_nam-o6170,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/6170"
ia_nam-o6170,ia_nam,restored 1 files,"https://ngoaidmap.org/iati/organizations/6170"
ia_nam-o61,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/61"
ia_nam-o61,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/61"
ia_nam-o61,ia_nam,restored 175 files,"https://ngoaidmap.org/iati/organizations/61"
ia_nam-o64,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/64"
ia_nam-o64,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/64"
ia_nam-o64,ia_nam,restored 7 files,"https://ngoaidmap.org/iati/organizations/64"
ia_nam-o65,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/65"
ia_nam-o65,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/65"
ia_nam-o65,ia_nam,restored 329 files,"https://ngoaidmap.org/iati/organizations/65"
ia_nam-o66,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/66"
ia_nam-o66,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/66"
ia_nam-o66,ia_nam,restored 1 files,"https://ngoaidmap.org/iati/organizations/66"
ia_nam-o67,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/67"
ia_nam-o67,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/67"
ia_nam-o67,ia_nam,restored 204 files,"https://ngoaidmap.org/iati/organizations/67"
ia_nam-o69,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/69"
ia_nam-o69,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/69"
ia_nam-o69,ia_nam,restored 10 files,"https://ngoaidmap.org/iati/organizations/69"
ia_nam-o71,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/71"
ia_nam-o71,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/71"
ia_nam-o71,ia_nam,restored 228 files,"https://ngoaidmap.org/iati/organizations/71"
ia_nam-o72,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/72"
ia_nam-o72,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/72"
ia_nam-o72,ia_nam,restored 1 files,"https://ngoaidmap.org/iati/organizations/72"
ia_nam-o73,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/73"
ia_nam-o73,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/73"
ia_nam-o73,ia_nam,restored 82 files,"https://ngoaidmap.org/iati/organizations/73"
ia_nam-o79,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/79"
ia_nam-o79,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/79"
ia_nam-o79,ia_nam,restored 47 files,"https://ngoaidmap.org/iati/organizations/79"
ia_nam-o81,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/81"
ia_nam-o81,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/81"
ia_nam-o81,ia_nam,restored 17 files,"https://ngoaidmap.org/iati/organizations/81"
ia_nam-o82,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/82"
ia_nam-o82,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/82"
ia_nam-o82,ia_nam,restored 15 files,"https://ngoaidmap.org/iati/organizations/82"
ia_nam-o83,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/83"
ia_nam-o83,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/83"
ia_nam-o83,ia_nam,restored 328 files,"https://ngoaidmap.org/iati/organizations/83"
ia_nam-o84,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/84"
ia_nam-o84,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/84"
ia_nam-o84,ia_nam,restored 6 files,"https://ngoaidmap.org/iati/organizations/84"
ia_nam-o86,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/86"
ia_nam-o86,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/86"
ia_nam-o86,ia_nam,restored 55 files,"https://ngoaidmap.org/iati/organizations/86"
ia_nam-o87,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/87"
ia_nam-o87,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/87"
ia_nam-o87,ia_nam,restored 126 files,"https://ngoaidmap.org/iati/organizations/87"
ia_nam-o8,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/8"
ia_nam-o8,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/8"
ia_nam-o8,ia_nam,restored 1067 files,"https://ngoaidmap.org/iati/organizations/8"
ia_nam-o90,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/90"
ia_nam-o90,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/90"
ia_nam-o90,ia_nam,restored 14 files,"https://ngoaidmap.org/iati/organizations/90"
ia_nam-o93,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/93"
ia_nam-o93,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/93"
ia_nam-o93,ia_nam,restored 99 files,"https://ngoaidmap.org/iati/organizations/93"
ia_nam-o94,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/94"
ia_nam-o94,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/94"
ia_nam-o94,ia_nam,restored 13 files,"https://ngoaidmap.org/iati/organizations/94"
ia_nam-o95,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/95"
ia_nam-o95,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/95"
ia_nam-o95,ia_nam,restored 25 files,"https://ngoaidmap.org/iati/organizations/95"
ia_nam-o97,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/97"
ia_nam-o97,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/97"
ia_nam-o97,ia_nam,restored 6 files,"https://ngoaidmap.org/iati/organizations/97"
ia_nam-o98,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/98"
ia_nam-o98,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/98"
ia_nam-o98,ia_nam,restored 11 files,"https://ngoaidmap.org/iati/organizations/98"
ia_nam-o9,ia_nam,curl: download ERROR 404,"https://ngoaidmap.org/iati/organizations/9"
ia_nam-o9,ia_nam,dflat: input XML file does not exist,"https://ngoaidmap.org/iati/organizations/9"
ia_nam-o9,ia_nam,restored 168 files,"https://ngoaidmap.org/iati/organizations/9"
icn-ke,icn,Converting IATI activities version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/icn-ke.xml"
ics-org,ics,Converting IATI activities version 1.03 to version 2.03,"https://raw.githubusercontent.com/IATI/CSV2IATI-public-backup/master/1409249656.74.xml"
