dataset,pub,type,num,url
ia_nam-o82,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/82"
ia_nam-o83,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/83"
ia_nam-o84,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/84"
ia_nam-o86,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/86"
ia_nam-o87,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/87"
ia_nam-o8,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/8"
ia_nam-o90,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/90"
ia_nam-o93,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/93"
ia_nam-o94,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/94"
ia_nam-o95,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/95"
ia_nam-o97,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/97"
ia_nam-o98,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/98"
ia_nam-o9,ia_nam,files,0,"https://ngoaidmap.org/iati/organizations/9"
iavi-dfid2,iavi,organisations,1,"https://aidstream.org/files/xml/iavi-org.xml"
iavi-org,iavi,organisations,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/iavi-org.xml"
ibfd-activities,ibfd,activities,41,"https://aidstream.s3.us-west-2.amazonaws.com/xml/ibfd-activities.xml"
ibis_denmark-activities,ibis_denmark,activities,36,"https://aidstream.s3.us-west-2.amazonaws.com/xml/ibis_denmark-activities.xml"
ibis_denmark-org,ibis_denmark,organisations,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/ibis_denmark-org.xml"
icars-activities,icars,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/icars-activities.xml"
icauk-289,icauk,activities,2,"https://aidstream.s3.us-west-2.amazonaws.com/xml/icauk-289.xml"
icauk-org,icauk,organisations,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/icauk-org.xml"
icco-cooperation-activity,icco-cooperation,activities,422,"https://www.icco-cooperation.org/en/wp-content/uploads/sites/2/2023/04/20230414icco_iati.xml"
icco-cooperation-org,icco-cooperation,organisations,1,"https://www.icco-cooperation.org/en/wp-content/uploads/sites/2/2019/08/ICCO_Foundation_organisation.xml"
icddrb-activities,icddrb,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/icddrb-activities.xml"
icddrb-org,icddrb,organisations,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/icddrb-org.xml"
icdi-activities,icdi,activities,6,"https://www.dataworkbench.io/publisher/icdi/iati-activities.xml"
icf-et,icf,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/icf-et.xml"
icf-in,icf,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/icf-in.xml"
icf-mr,icf,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/icf-mr.xml"
icf-ng,icf,activities,3,"https://aidstream.s3.us-west-2.amazonaws.com/xml/icf-ng.xml"
icf-np,icf,activities,2,"https://aidstream.s3.us-west-2.amazonaws.com/xml/icf-np.xml"
icf-org,icf,organisations,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/icf-org.xml"
icipe-activities,icipe,activities,65,"https://aidstream.s3.us-west-2.amazonaws.com/xml/icipe-activities.xml"
iclei-activities,iclei,activities,6,"https://aidstream.s3.us-west-2.amazonaws.com/xml/iclei-activities.xml"
iclei-org,iclei,organisations,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/iclei-org.xml"
icm_mx-activities,icm_mx,activities,2,"https://aidstream.s3.us-west-2.amazonaws.com/xml/icm_mx-activities.xml"
icm_mx-org,icm_mx,organisations,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/icm_mx-org.xml"
icmpd-activities,icmpd,activities,7,"https://aidstream.s3.us-west-2.amazonaws.com/xml/icmpd-activities.xml"
icmpd-org,icmpd,organisations,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/icmpd-org.xml"
icn-ke,icn,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/icn-ke.xml"
icnl_org-icnl-nlprotectdata-datasetactivities,icnl_org,activities,5,"https://files.aida.tools/activities/US-EIN-52-1818273/6faa89ad-817d-444d-9f8b-47c853408598/ICNL-NLprotectdata-datasetactivities.xml"
